iter	Passed	Remaining
0	1	99
1	1	90
2	2	93
3	3	88
4	4	90
5	5	88
6	6	87
7	7	86
8	8	89
9	9	87
10	10	86
11	11	86
12	12	85
13	14	87
14	15	87
15	16	86
16	17	85
17	18	83
18	19	81
19	19	79
20	20	78
21	21	76
22	22	75
23	23	73
24	24	72
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	36	58
38	37	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	44
53	50	43
54	51	41
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
