iter	Passed	Remaining
0	142	142173
1	143	71639
2	144	48050
3	145	36202
4	146	29090
5	146	24346
6	147	20968
7	148	18456
8	149	16500
9	150	14915
10	151	13619
11	152	12537
12	153	11619
13	154	10850
14	155	10195
15	156	9613
16	157	9092
17	158	8627
18	158	8204
19	159	7829
20	160	7494
21	161	7192
22	162	6915
23	163	6654
24	164	6413
25	165	6191
26	166	5985
27	167	5822
28	168	5650
29	169	5482
30	170	5325
31	171	5178
32	172	5040
33	172	4912
34	173	4791
35	174	4676
36	175	4566
37	176	4461
38	176	4361
39	177	4266
40	178	4176
41	179	4095
42	180	4018
43	181	3952
44	182	3880
45	183	3809
46	185	3760
47	186	3701
48	187	3641
49	188	3583
50	189	3529
51	190	3475
52	192	3432
53	193	3387
54	194	3343
55	195	3301
56	197	3260
57	198	3220
58	199	3183
59	200	3141
60	201	3098
61	202	3057
62	202	3019
63	204	2985
64	205	2949
65	205	2912
66	206	2878
67	207	2844
68	208	2812
69	209	2784
70	210	2756
71	211	2729
72	212	2699
73	213	2669
74	214	2642
75	215	2614
76	216	2591
77	217	2567
78	217	2540
79	218	2516
80	219	2492
81	220	2467
82	220	2441
83	221	2418
84	223	2401
85	224	2381
86	224	2360
87	225	2339
88	226	2318
89	227	2298
90	228	2278
91	229	2261
92	230	2243
93	230	2224
94	231	2205
95	232	2187
96	233	2170
97	233	2152
98	234	2138
99	235	2123
100	237	2109
101	237	2094
102	238	2077
103	239	2062
104	240	2048
105	241	2034
106	242	2020
107	243	2007
108	243	1994
109	244	1980
110	245	1967
111	247	1959
112	248	1948
113	249	1936
114	250	1925
115	251	1913
116	251	1900
117	253	1891
118	254	1882
119	255	1872
120	256	1861
121	257	1849
122	258	1839
123	259	1831
124	260	1822
125	261	1812
126	261	1800
127	262	1789
128	263	1779
129	264	1770
130	265	1761
131	266	1753
132	267	1744
133	268	1734
134	269	1724
135	270	1715
136	270	1706
137	272	1699
138	272	1690
139	273	1681
140	274	1672
141	275	1661
142	275	1653
143	276	1644
144	277	1637
145	278	1631
146	279	1624
147	280	1616
148	281	1609
149	282	1602
150	283	1596
151	284	1589
152	285	1581
153	286	1574
154	287	1566
155	288	1558
156	288	1551
157	289	1544
158	290	1537
159	291	1530
160	292	1523
161	293	1517
162	294	1510
163	294	1502
164	295	1496
165	296	1490
166	297	1484
167	298	1478
168	299	1472
169	300	1466
170	301	1459
171	302	1456
172	303	1450
173	304	1444
174	305	1441
175	306	1436
176	308	1434
177	310	1431
178	311	1427
179	312	1422
180	313	1418
181	314	1414
182	315	1409
183	316	1404
184	317	1398
185	318	1392
186	319	1386
187	320	1383
188	321	1378
189	322	1373
190	323	1368
191	323	1363
192	324	1358
193	325	1354
194	326	1349
195	327	1344
196	328	1340
197	329	1334
198	330	1329
199	331	1324
200	332	1320
201	333	1317
202	334	1312
203	335	1308
204	336	1304
205	337	1299
206	337	1294
207	338	1290
208	339	1285
209	340	1281
210	341	1276
211	342	1271
212	342	1266
213	343	1261
214	344	1257
215	345	1254
216	346	1251
217	347	1248
218	348	1243
219	349	1239
220	350	1234
221	351	1231
222	352	1227
223	353	1224
224	354	1220
225	355	1217
226	356	1213
227	357	1211
228	358	1208
229	359	1204
230	361	1202
231	362	1198
232	363	1196
233	364	1193
234	365	1190
235	366	1186
236	367	1182
237	368	1178
238	369	1175
239	370	1171
